时间,负荷(kW),功率(kW),电量(kWh),累计(kWh)
2026-04-15 20:04:09,90.89,4.17,0.35,0.34722222222222227
2026-04-15 20:04:14,74.91,4.51,0.38,0.7233796296296298
2026-04-15 20:04:19,73.29,4.93,0.41,1.1340181327160495
2026-04-15 20:04:24,81.51,5.43,0.45,1.5864809277834935
2026-04-15 20:04:29,76.22,6.05,0.5,2.0907884181190823
2026-04-15 20:04:34,83.74,6.84,0.57,2.661136175046236
2026-04-15 20:04:39,90.51,7.89,0.66,3.318620394837261
2026-04-15 20:04:44,94.92,9.34,0.78,4.0966433882566395
2026-04-15 20:04:49,77.09,11.48,0.96,5.05296331766796
2026-04-15 20:04:54,81.85,14.98,1.25,6.301492114399405
2026-04-15 20:04:59,86.12,21.85,1.82,8.12226327629943
2026-04-15 20:05:04,82.37,41.88,3.49,11.612074669941144
